Sliding Window Attack Statistics
======================================================================
Attack: FGSM
Window size: 5
Epsilon: 0.03
Number of windows: 193

Window | Frames      | Target Value | Perturbation Norm
   119 | [119, 123] |     0.044379 |          6.619201
   120 | [120, 124] |    -0.004221 |          6.619522
   121 | [121, 125] |     0.004587 |          0.000000
   122 | [122, 126] |     0.017538 |          0.000000
   123 | [123, 127] |    -0.022624 |          0.000000
   124 | [124, 128] |     0.089409 |          0.000000
   125 | [125, 129] |     0.059729 |          0.000000
   126 | [126, 130] |     0.045749 |          0.000000
   127 | [127, 131] |     0.000000 |          0.000000
   128 | [128, 132] |    -0.012863 |          0.000000
   129 | [129, 133] |     0.000000 |          0.000000
   130 | [130, 134] |    -0.014969 |          0.000000
   131 | [131, 135] |     0.000000 |          0.000000
   132 | [132, 136] |     0.000000 |          0.000000
   133 | [133, 137] |     0.000000 |          0.000000
   134 | [134, 138] |     0.059711 |          0.000000
   135 | [135, 139] |     0.024307 |          0.000000
   136 | [136, 140] |     0.000000 |          0.000000
   137 | [137, 141] |     0.000000 |          0.000000
   138 | [138, 142] |    -0.004175 |          0.000000
   139 | [139, 143] |    -0.012808 |          0.000000
   140 | [140, 144] |     0.024109 |          0.000000
   141 | [141, 145] |     0.050552 |          0.000000
   142 | [142, 146] |     0.000000 |          0.000000
   143 | [143, 147] |     0.006386 |          0.000000
   144 | [144, 148] |     0.102409 |          0.000000
   145 | [145, 149] |     0.048645 |          0.000000
   146 | [146, 150] |     0.042780 |          0.000000
   147 | [147, 151] |     0.102333 |          0.000000
   148 | [148, 152] |     0.143875 |          0.000000
   149 | [149, 153] |     0.038841 |          0.000000
   150 | [150, 154] |     0.000000 |          0.000000
   151 | [151, 155] |     0.072304 |          0.000000
   152 | [152, 156] |     0.060013 |          0.000000
   153 | [153, 157] |     0.039825 |          0.000000
   154 | [154, 158] |     0.105434 |          0.000000
   155 | [155, 159] |     0.151009 |          0.000000
   156 | [156, 160] |     0.033499 |          0.000000
   157 | [157, 161] |     0.093018 |          0.000000
   158 | [158, 162] |     0.197350 |          0.000000
   159 | [159, 163] |     0.152716 |          0.000000
   160 | [160, 164] |     0.203468 |          0.000000
   161 | [161, 165] |     0.208473 |          0.000000
   162 | [162, 166] |     0.270493 |          0.000000
   163 | [163, 167] |     0.079938 |          0.000000
   164 | [164, 168] |     0.009860 |          0.000000
   165 | [165, 169] |     0.031128 |          0.000000
   166 | [166, 170] |     0.000000 |          0.000000
   167 | [167, 171] |     0.000000 |          0.000000
   168 | [168, 172] |     0.000000 |          0.000000
   169 | [169, 173] |     0.104721 |          0.000000
   170 | [170, 174] |     0.042397 |          0.000000
   171 | [171, 175] |     0.000000 |          0.000000
   172 | [172, 176] |     0.000000 |          0.000000
   173 | [173, 177] |    -0.009872 |          0.000000
   174 | [174, 178] |    -0.002081 |          0.000000
   175 | [175, 179] |     0.000000 |          0.000000
   176 | [176, 180] |     0.000000 |          0.000000
   177 | [177, 181] |     0.000000 |          0.000000
   178 | [178, 182] |     0.000000 |          0.000000
   179 | [179, 183] |     0.000000 |          0.000000
   180 | [180, 184] |     0.000000 |          0.000000
   181 | [181, 185] |     0.005969 |          0.000000
   182 | [182, 186] |     0.000000 |          0.000000
   183 | [183, 187] |     0.030858 |          0.000000
   184 | [184, 188] |     0.009064 |          0.000000
   185 | [185, 189] |     0.058891 |          0.000000
   186 | [186, 190] |     0.061707 |          0.000000
   187 | [187, 191] |     0.022243 |          0.000000
   188 | [188, 192] |     0.052353 |          0.000000
   189 | [189, 193] |     0.037079 |          0.000000
   190 | [190, 194] |     0.000000 |          0.000000
   191 | [191, 195] |     0.000000 |          0.000000
   192 | [192, 196] |     0.000000 |          0.000000
