Sliding Window Attack Statistics
======================================================================
Attack: MIFGSM
Window size: 5
Epsilon: 0.03
Number of windows: 193

Window | Frames      | Target Value | Perturbation Norm
   121 | [121, 125] |     0.091150 |          5.464105
   122 | [122, 126] |     0.401749 |          0.000000
   123 | [123, 127] |     0.010188 |          0.000000
   124 | [124, 128] |     0.077975 |          0.000000
   125 | [125, 129] |     0.000000 |          0.000000
   126 | [126, 130] |     0.026212 |          0.000000
   127 | [127, 131] |     0.000000 |          0.000000
   128 | [128, 132] |     0.000000 |          0.000000
   129 | [129, 133] |     0.018814 |          0.000000
   130 | [130, 134] |     0.000000 |          0.000000
   131 | [131, 135] |     0.000000 |          0.000000
   132 | [132, 136] |     0.000000 |          0.000000
   133 | [133, 137] |     0.000000 |          0.000000
   134 | [134, 138] |     0.000000 |          0.000000
   135 | [135, 139] |     0.000000 |          0.000000
   136 | [136, 140] |     0.000000 |          0.000000
   137 | [137, 141] |     0.000000 |          0.000000
   138 | [138, 142] |     0.000000 |          0.000000
   139 | [139, 143] |     0.000000 |          0.000000
   140 | [140, 144] |     0.000000 |          0.000000
   141 | [141, 145] |     0.000000 |          0.000000
   142 | [142, 146] |     0.000000 |          0.000000
   143 | [143, 147] |     0.073425 |          0.000000
   144 | [144, 148] |     0.022957 |          0.000000
   145 | [145, 149] |     0.033920 |          0.000000
   146 | [146, 150] |     0.000000 |          0.000000
   147 | [147, 151] |     0.000000 |          0.000000
   148 | [148, 152] |     0.000000 |          0.000000
   149 | [149, 153] |     0.000000 |          0.000000
   150 | [150, 154] |     0.000000 |          0.000000
   151 | [151, 155] |     0.000000 |          0.000000
   152 | [152, 156] |     0.000000 |          0.000000
   153 | [153, 157] |     0.000000 |          0.000000
   154 | [154, 158] |     0.000000 |          0.000000
   155 | [155, 159] |     0.000000 |          0.000000
   156 | [156, 160] |     0.000000 |          0.000000
   157 | [157, 161] |     0.000000 |          0.000000
   158 | [158, 162] |     0.008533 |          0.000000
   159 | [159, 163] |     0.011014 |          0.000000
   160 | [160, 164] |     0.000000 |          0.000000
